6 1:0.5858061644385987 2:0.2075160829597414 3:0.061166429587482224 4:0.024125879690605 5:0.4079799456862335 6:0.4299516908212561 7:0.3461538461538461 8:0.3607142857142857 9:0.01973684210526316 10:0.4198385236447521 11:0.125 12:0.2719298245614035 13:0.2655658754729962 14:0.366979133316411 #2978.0
0 1:0.3342620822548949 2:0.28686361748325045 3:0.16839916839916838 4:0.15484700963408035 5:0.1098809275120117 6:0.1323671497584541 7:0.1153846153846154 8:0.14285714285714285 9:0.0625 10:0.31487889273356395 11:0.125 12:0.13157894736842105 13:0.33551198257080606 14:0.2318048912040651 #2979.0
2 1:0.3955379793317195 2:0.19543299487048849 3:0.025410025410025402 4:0.0066071176215468114 5:0.1583455191142678 6:0.18357487922705315 7:0.15934065934065933 8:0.2071428571428572 9:0.008333333333333333 10:0.29238754325259514 11:0.0625 12:0.16666666666666666 13:0.16557734204793026 14:0.16516844563042024 #2980.0
6 1:0.6804936553801428 2:0.3382831312921599 3:0.026445800639349037 4:0.004826996789532342 5:0.4165448088573219 6:0.42028985507246375 7:0.31868131868131866 8:0.3071428571428572 9:0.02217741935483871 10:0.23718150361748974 11:0.125 12:0.07894736842105263 13:0.1513809825005271 14:0.18692880968264552 #2981.0
6 1:0.563543438153686 2:0.24408953299994945 3:0.01613701613701614 4:0.0023953120566677613 5:0.35491957384583245 6:0.37777777777777777 7:0.3296703296703297 8:0.4642857142857143 9:0.01607142857142857 10:0.2349096501345636 11:0.0625 12:0.19298245614035087 13:0.1139122315592904 14:0.12267583150671875 #2982.0
6 1:0.5096696071045648 2:0.24137707385868784 3:0.018988218988218987 4:0.00532355598438665 5:0.2575725924378525 6:0.2811594202898551 7:0.2692307692307692 8:0.3 9:0.005 10:0.31487889273356395 11:0.0625 12:0.21052631578947367 13:0.14901960784313725 14:0.19309184846635347 #2983.0
8 1:0.7388205124172507 2:0.4751407096305077 3:0.04643104643104643 4:0.015999298276391388 5:0.4800501357844161 6:0.4724637681159421 7:0.489010989010989 8:0.5571428571428572 9:0.02 10:0.3429930795847751 11:0.125 12:0.3157894736842105 13:0.20915032679738566 14:0.2511752733114593 #2984.0
2 1:0.3958386559832789 2:0.15340253062689108 3:0.04981904981904983 4:0.014912709589843637 5:0.6294129935241278 6:0.7275362318840579 7:0.6923076923076923 8:0.4607142857142857 9:0.036458333333333336 10:0.3598615916955017 11:0.125 12:0.2280701754385965 13:0.2810457516339869 14:0.3586493559809104 #2985.0
6 1:0.7221279802857553 2:0.48056832447439596 3:0.034722982091403135 4:0.009497566625169887 5:0.29371213703781074 6:0.2898550724637681 7:0.33516483516483514 8:0.32857142857142857 9:0.009868421052631578 10:0.25490196078431376 11:0.0625 12:0.05263157894736842 13:0.18644650842793253 14:0.2280521241149149 #2986.0
6 1:0.4993030508490371 2:0.2173455226200859 3:0.02893277893277893 4:0.004506381299065831 5:0.30541048673490706 6:0.3352657004830918 7:0.3736263736263736 8:0.33214285714285713 9:0.02083333333333333 10:0.3092560553633218 11:0.125 12:0.07894736842105263 13:0.19117647058823528 14:0.2175983989326217 #2987.0
4 1:0.3869228438302417 2:0.18576856671772876 3:0.042232277526395176 4:0.018968390416920042 5:0.2508878211823689 6:0.2917874396135265 7:0.2967032967032967 8:0.225 9:0.036764705882352935 10:0.41384083044982695 11:0.125 12:0.14035087719298245 13:0.26374471357170315 14:0.3138072440450497 #2988.0
4 1:0.5221813813597915 2:0.3359839479699132 3:0.03499653499653499 4:0.014955484408578572 5:0.2529768121997075 6:0.2743961352657005 7:0.2637362637362637 8:0.3535714285714286 9:0.02430555555555556 10:0.2763222936233317 11:0.0625 12:0.07017543859649122 13:0.22294843863471314 14:0.32610354468522085 #2989.0
8 1:0.6080113521394224 2:0.3355636751254535 3:0.032308170239204716 4:0.010706082784924895 5:0.4205138917902653 6:0.4386473429951691 7:0.4120879120879121 8:0.5178571428571429 9:0.02155172413793104 10:0.256401384083045 11:0.0625 12:0.21929824561403508 13:0.1514536849222447 14:0.19577300755020488 #2990.0
